H;penstroke-edit;2;caveat_edit fixing.cdr;464;564;0
G;0;0000;a
S;5;0;172.02;177.03
S;5;0;169.90;179.16
S;5;0;167.84;181.37
S;5;0;165.85;183.62
S;5;0;163.90;185.92
S;5;0;162.01;188.26
S;5;0;160.16;190.64
S;5;0;158.35;193.05
S;5;0;156.59;195.49
S;5;0;154.85;197.95
S;5;0;153.16;200.44
S;5;0;151.49;202.95
S;5;0;149.86;205.48
S;5;0;148.26;208.03
S;5;0;146.68;210.60
S;5;0;145.14;213.18
S;5;0;143.63;215.79
S;5;0;142.14;218.41
S;5;0;140.69;221.04
S;5;0;139.25;223.69
S;5;0;137.82;226.34
S;5;0;136.42;229.01
S;5;0;135.04;231.68
S;5;0;133.69;234.37
S;5;0;132.36;237.08
S;5;0;131.07;239.80
S;5;0;129.81;242.53
S;5;0;128.59;245.29
S;5;0;127.41;248.06
S;5;0;126.28;250.85
S;5;0;125.20;253.66
S;5;0;124.17;256.49
S;5;0;123.20;259.34
S;5;0;122.30;262.22
S;5;0;121.42;265.09
S;5;0;120.43;267.94
S;5;0;119.35;270.75
S;5;0;118.22;273.54
S;5;0;117.05;276.32
S;5;0;115.86;279.08
S;5;0;114.67;281.85
S;5;0;113.50;284.62
S;5;0;112.36;287.41
S;5;0;111.28;290.22
S;5;0;110.29;293.07
S;5;0;109.31;295.91
S;5;0;108.35;298.77
S;5;0;107.40;301.63
S;5;0;106.45;304.48
S;5;0;105.51;307.35
S;5;0;104.57;310.21
S;5;0;103.63;313.07
S;5;0;102.69;315.93
S;5;0;101.73;318.78
S;5;0;100.77;321.64
S;5;0;99.82;324.49
S;5;0;98.89;327.36
S;5;0;98.00;330.23
S;5;0;97.12;333.12
S;5;0;96.27;336.00
S;5;0;95.43;338.90
S;5;0;94.62;341.80
S;5;0;93.82;344.70
S;5;0;93.04;347.61
S;5;0;92.29;350.52
S;5;0;91.55;353.44
S;5;0;90.82;356.37
S;5;0;90.12;359.30
S;5;0;89.44;362.23
S;5;0;88.77;365.17
S;5;0;88.12;368.11
S;5;0;87.50;371.05
S;5;0;86.89;374.00
S;5;0;86.30;376.96
S;5;0;85.74;379.91
S;5;0;85.20;382.88
S;5;0;84.68;385.84
S;5;0;84.18;388.81
S;5;0;83.71;391.79
S;5;0;83.27;394.77
S;5;0;82.85;397.75
S;5;0;82.47;400.74
S;5;0;82.11;403.73
S;5;0;81.79;406.72
S;5;0;81.51;409.72
S;5;0;81.26;412.72
S;5;0;81.06;415.72
S;5;0;80.90;418.73
S;5;0;80.79;421.74
S;5;0;80.73;424.75
S;5;0;80.74;427.76
S;5;0;80.81;430.77
S;5;0;80.96;433.78
S;5;0;81.19;436.78
S;5;0;81.53;439.78
S;5;0;81.97;442.75
S;5;0;82.55;445.71
G;6;0000;g
S;6;0;159.48;336.84
S;6;0;157.44;339.05
S;6;0;155.38;341.25
S;6;0;153.31;343.43
S;6;0;151.22;345.60
S;6;0;149.11;347.74
S;6;0;146.95;349.84
S;6;0;144.76;351.90
S;6;0;142.53;353.92
S;6;0;140.24;355.87
S;6;0;137.89;357.75
S;6;0;135.47;359.54
S;6;0;132.99;361.24
S;6;0;130.42;362.82
S;6;0;127.78;364.26
S;6;0;125.06;365.55
S;6;0;122.26;366.65
S;6;0;119.39;367.55
S;6;0;116.46;368.22
S;6;0;113.48;368.65
S;6;0;110.48;368.83
S;6;0;107.47;368.73
S;6;0;104.50;368.27
S;6;0;101.63;367.39
S;6;0;98.95;366.03
S;6;0;96.58;364.19
S;6;0;94.61;361.92
S;6;0;93.08;359.33
S;6;0;91.98;356.53
S;6;0;91.23;353.62
S;6;0;90.80;350.64
S;6;0;90.63;347.64
S;6;0;90.67;344.63
S;6;0;90.90;341.63
S;6;0;91.28;338.64
S;6;0;91.81;335.68
S;6;0;92.45;332.74
S;6;0;93.21;329.83
S;6;0;94.06;326.94
S;6;0;95.01;324.09
S;6;0;96.04;321.26
S;6;0;97.16;318.46
S;6;0;98.35;315.70
S;6;0;99.61;312.97
S;6;0;100.95;310.27
S;6;0;102.35;307.61
S;6;0;103.82;304.99
S;6;0;105.37;302.40
S;6;0;106.98;299.86
S;6;0;108.65;297.36
S;6;0;110.40;294.91
S;6;0;112.22;292.52
S;6;0;114.11;290.18
S;6;0;116.08;287.90
S;6;0;118.12;285.69
S;6;0;120.25;283.56
S;6;0;122.46;281.52
S;6;0;124.76;279.58
S;6;0;127.16;277.76
S;6;0;129.65;276.07
S;6;0;132.24;274.55
S;6;0;134.94;273.21
S;6;0;137.73;272.10
S;6;0;140.62;271.24
S;6;0;143.58;270.70
S;6;0;146.58;270.50
S;6;0;149.58;270.67
S;6;0;152.53;271.24
S;6;0;155.39;272.19
S;6;0;158.10;273.48
S;6;0;160.65;275.07
S;6;0;163.03;276.91
S;6;0;165.24;278.96
S;6;0;167.27;281.18
S;6;0;169.10;283.57
S;6;0;170.65;286.14
S;6;0;171.87;288.89
S;6;0;172.73;291.77
S;6;0;173.19;294.74
S;6;0;173.27;297.75
S;6;0;173.03;300.75
S;6;0;172.50;303.71
S;6;0;171.74;306.62
S;6;0;170.81;309.48
S;6;0;169.75;312.30
S;6;0;168.59;315.07
S;6;0;167.36;317.82
S;6;0;166.10;320.56
S;6;0;164.83;323.28
S;6;0;163.57;326.02
S;6;0;162.36;328.77
S;6;0;161.23;331.56
S;6;0;160.22;334.39
S;6;0;159.36;337.28
S;6;0;158.71;340.22
S;6;0;158.24;343.19
S;6;0;157.90;346.18
S;6;0;157.67;349.18
S;6;0;157.50;352.18
S;6;0;157.34;355.19
S;6;0;157.17;358.19
S;6;0;156.93;361.19
S;6;0;156.59;364.18
S;6;0;156.12;367.15
S;6;0;155.61;370.12
S;6;0;155.06;373.08
S;6;0;154.48;376.03
S;6;0;153.87;378.98
S;6;0;153.23;381.92
S;6;0;152.57;384.85
S;6;0;151.88;387.78
S;6;0;151.16;390.71
S;6;0;150.42;393.62
S;6;0;149.66;396.53
S;6;0;148.87;399.44
S;6;0;148.05;402.34
S;6;0;147.22;405.23
S;6;0;146.36;408.11
S;6;0;145.47;410.99
S;6;0;144.57;413.86
S;6;0;143.63;416.72
S;6;0;142.67;419.57
S;6;0;141.69;422.41
S;6;0;140.67;425.25
S;6;0;139.63;428.07
S;6;0;138.56;430.88
S;6;0;137.46;433.68
S;6;0;136.33;436.47
S;6;0;135.16;439.24
S;6;0;133.95;442.00
S;6;0;132.70;444.74
S;6;0;131.41;447.45
S;6;0;130.06;450.15
S;6;0;128.63;452.79
S;6;0;127.11;455.39
S;6;0;125.47;457.91
S;6;0;123.70;460.35
S;6;0;121.79;462.67
S;6;0;119.71;464.85
S;6;0;117.44;466.82
S;6;0;114.97;468.53
S;6;0;112.28;469.88
S;6;0;109.41;470.77
